groupId,artifactId,version,scope
io.quarkus,quarkus-rest,,
io.quarkus,quarkus-messaging-kafka,,
io.quarkus,quarkus-arc,,
io.quarkus,quarkus-apicurio-registry-avro,,
io.quarkus,quarkus-junit5,,test
io.rest-assured,rest-assured,,test
